(0,100)	(578,584)
(0,150)	(576,400)
(0,200)	(576,294)
(50,100)	(187,606)
(50,150)	(290,406)
(50,200)	(351,294)
(-50,100)	(947,565)
(-50,150)	(839,389)
(-50,200)	(784,287)
(0,250)	(573,222)
(0,300)	(569,172)
(0,350)	(565,135)
(-50,250)	(749,220)
(-50,300)	(719,170)
(-50,350)	(697,135)

(50,250)	(388,222)
(50,300)	(412,171)
(50,350)	(428,135)
